SceneName	Object	Interaction	Flags	Dialogue
M0%Scene1	-	Autorun	-	@playsound SystemStart
				@fade 1 1 1 1 0
				@fade 0 0 0 0 0.5
				@playmusic BGM1
			!AutoAria	@status Look for Agent Aria.
			AutoAria Progress==0	@status Look around, then Examine Agent Aria.
			Progress==1	@status Look for Little Pepe and Talk to him.
			Progress==2 !M0%Inventory%Flower	@status Look for the flower and Pick it Up.
			Progress==2 M0%Inventory%Flower	@status Open Inventory, Select the flower, and Give it to Agent Aria.
			Progress==3	@status Depart and proceed to the next location.
			!Start	Welcome to the MAGIS sample game. (Tap the screen to continue.)
				This game is intended to demonstrate the basic features of MAGIS. This game itself is a subset of Igpaw: Loyola (Available on the App Store and Play Store!)
				Please be informed that the default places in the map are located in the Loyola Schools of the Ateneo de Manila University. You may change this map by customizing the MapSystem object inside MapScene.unity.
				*** System ready. Tap the screen to continue. ***
				@hide BigBadge
				@show Agent_Aria
				@show Flower
				@show Brochure
				@fade 1 1 1 1 0
				@fade 0 0 0 0 0.5
				*** Connection established. Interference: 0.02%. Latency: 15ms. ***
				*** Orders received. {Make contact with Agent Aria.} ***
				@settrue Start
	Agent_Aria	Auto	!AutoAria	@animate Agent_Aria Talk
				M.A.G.I.S. Agent#Good, you got the connection working. You're the new recruit, yes?
				@animate Agent_Aria Talk
				Aria#I'm Agent Aria, and I'll be instructing you in the use of your Spirit Gear.
				@animate Agent_Aria Talk
				Aria#Oh? No one told you? It's that rectangular device you're using. What was it called in your world again? Smartphone? Tablet?
				@animate Agent_Aria Talk
				Aria#Spirit Gear technology turns your device into a special tool that allows you to see otherworlders like me. All you need to do is look through it.
				@animate Agent_Aria Talk
				Aria#Try it out! Look at your surroundings through your Spirit Gear.
				@animate Agent_Aria Talk
				Aria#When you're done, use your Spirit Gear to {Examine} me so we can continue your lesson.
				@settrue AutoAria
		Examine	Progress==0	M.A.G.I.S. Agent, codename: Aria.
				Professor in the Department of M.A.G.I.S. and head of the Arcane Laboratory of Lost Secrets.
				@animate Agent_Aria Yes
				Aria#Excellent.
				@animate Agent_Aria Talk
				Aria#Whenever you {Examine} someone or something, your Spirit Gear will access our department's database and provide more information.
				@animate Agent_Aria Talk
